day,oxygen,,,,,1/9/2023 13:34,0.18709677
1,0.14387095,,8pm everyday,,,1/9/2023 13:41,0.14774194
2,0.18258065,,,,,1/9/2023 13:48,0.1387097
3,0.17387097,,,,,1/9/2023 13:55,0.15741935
4,0.18096775,,,,,1/9/2023 14:02,0.15548387
5,0.14387095,,,,,1/9/2023 14:09,0.1516129
6,0.15225807,,,,,1/9/2023 14:16,0.14741936
7,0.15096775,,,,,1/9/2023 14:30,0.19387096
8,0.20774193,,,,,1/9/2023 14:44,0.1448387
9,0.19322582,,,,,1/9/2023 14:51,0.14580646
10,0.18096773,,,,,1/9/2023 14:58,0.16419354
,,,,,,1/9/2023 15:06,0.13516127
,,,,,,1/9/2023 15:41,0.18967742
,,,,,,1/9/2023 15:48,0.14967743
,,,,,,1/9/2023 15:55,0.15903226
,,,,,,1/9/2023 16:02,0.1183871
,,,,,,1/9/2023 16:16,0.23161289
,,,,,,1/9/2023 16:23,0.1335484
,,,,,,1/9/2023 16:30,0.16741937
,,,,,,1/9/2023 16:37,0.1748387
,,,,,,1/9/2023 16:44,0.112903215
,,,,,,1/9/2023 16:52,0.14903225
,,,,,,1/9/2023 17:55,0.15548387
,,,,,,1/9/2023 18:02,0.14225806
,,,,,,1/9/2023 18:09,0.12774193
,,,,,,1/9/2023 18:16,0.14451614
,,,,,,1/9/2023 18:23,0.15258065
,,,,,,1/9/2023 18:30,0.15870968
,,,,,,1/9/2023 18:38,0.15193549
,,,,,,1/9/2023 18:45,0.17806451
,,,,,,1/9/2023 18:52,0.15935485
,,,,,,1/9/2023 18:59,0.15774193
,,,,,,1/9/2023 19:06,0.17258063
,,,,,,1/9/2023 19:13,0.15
,,,,,,1/9/2023 19:20,0.13903224
,,,,,,1/9/2023 19:27,0.15451613
,,,,,,1/9/2023 19:41,0.17032258
,,,,,,1/9/2023 19:48,0.17548387
,,,,,,1/9/2023 19:55,0.17806453
,,,,,,1/9/2023 20:02,0.14387095
,,,,,,1/9/2023 20:09,0.18451613
,,,,,,1/9/2023 20:16,0.1464516
,,,,,,1/9/2023 20:24,0.19806454
,,,,,,1/9/2023 20:31,0.15258065
,,,,,,1/9/2023 20:38,0.1167742
,,,,,,1/9/2023 20:52,0.16580644
,,,,,,1/9/2023 20:59,0.12032257
,,,,,,1/9/2023 21:06,0.18387096
,,,,,,1/9/2023 21:20,0.16483872
,,,,,,1/9/2023 21:27,0.13387096
,,,,,,1/9/2023 21:34,0.13903226
,,,,,,1/9/2023 21:41,0.20483871
,,,,,,1/9/2023 21:48,0.13548386
,,,,,,1/9/2023 22:03,0.13580644
,,,,,,1/9/2023 22:10,0.15290323
,,,,,,1/9/2023 22:24,0.15903226
,,,,,,1/9/2023 22:31,0.14903226
,,,,,,1/9/2023 22:38,0.16225807
,,,,,,1/9/2023 22:45,0.17935485
,,,,,,1/9/2023 22:52,0.1983871
,,,,,,1/9/2023 22:59,0.15258065
,,,,,,1/9/2023 23:06,0.20870967
,,,,,,1/9/2023 23:20,0.17419355
,,,,,,1/9/2023 23:27,0.1467742
,,,,,,1/9/2023 23:34,0.22032258
,,,,,,1/9/2023 23:41,0.18645161
,,,,,,1/9/2023 23:49,0.16483872
,,,,,,1/9/2023 23:56,0.20064516
,,,,,,2/9/2023 0:03,0.18935485
,,,,,,2/9/2023 0:10,0.17419356
,,,,,,2/9/2023 0:17,0.16096774
,,,,,,2/9/2023 0:31,0.18193547
,,,,,,2/9/2023 0:38,0.13193549
,,,,,,2/9/2023 0:45,0.16645162
,,,,,,2/9/2023 0:52,0.15161291
,,,,,,2/9/2023 1:13,0.15870968
,,,,,,2/9/2023 1:20,0.16483872
,,,,,,2/9/2023 1:28,0.1383871
,,,,,,2/9/2023 1:49,0.13774194
,,,,,,2/9/2023 1:56,0.18580645
,,,,,,2/9/2023 2:03,0.14193548
,,,,,,2/9/2023 2:10,0.21774192
,,,,,,2/9/2023 2:17,0.13677418
,,,,,,2/9/2023 2:24,0.19645162
,,,,,,2/9/2023 2:38,0.18129033
,,,,,,2/9/2023 2:45,0.19225806
,,,,,,2/9/2023 2:52,0.19258064
,,,,,,2/9/2023 3:00,0.15451613
,,,,,,2/9/2023 3:14,0.1416129
,,,,,,2/9/2023 3:21,0.20387097
,,,,,,2/9/2023 3:28,0.1183871
,,,,,,2/9/2023 3:35,0.15096773
,,,,,,2/9/2023 3:49,0.16580644
,,,,,,2/9/2023 3:56,0.1951613
,,,,,,2/9/2023 4:03,0.17225805
,,,,,,2/9/2023 4:10,0.14935485
,,,,,,2/9/2023 4:17,0.16516128
,,,,,,2/9/2023 4:24,0.17774193
,,,,,,2/9/2023 4:32,0.13387096
,,,,,,2/9/2023 4:39,0.16290322
,,,,,,2/9/2023 4:46,0.12741935
,,,,,,2/9/2023 4:53,0.14677419
,,,,,,2/9/2023 5:00,0.14580646
,,,,,,2/9/2023 5:07,0.13612902
,,,,,,2/9/2023 5:14,0.16677418
,,,,,,2/9/2023 5:21,0.18096775
,,,,,,2/9/2023 5:28,0.1387097
,,,,,,2/9/2023 5:35,0.17225806
,,,,,,2/9/2023 5:42,0.1696774
,,,,,,2/9/2023 5:49,0.19612904
,,,,,,2/9/2023 5:56,0.19000001
,,,,,,2/9/2023 6:04,0.16354838
,,,,,,2/9/2023 6:11,0.1483871
,,,,,,2/9/2023 6:18,0.17935483
,,,,,,2/9/2023 6:25,0.17999999
,,,,,,2/9/2023 6:32,0.13903226
,,,,,,2/9/2023 6:39,0.17354839
